제목,감독이름,제작국가,개봉일,장르,누적관객수,누적매출액
에반게리온: Q,,,2013-04-25,,32792,237369461
전국노래자랑,,,2013-05-01,,957494,6571042500
니모를 찾아서,,,2003-06-05,,60922,632657500
폭풍우 치는 밤에: 비밀 친구,,,2013-05-01,,32214,215582000
고령화 가족,,,2013-05-09,,1136853,8144486653
크루즈 패밀리,,,2013-05-16,,897813,6261768500
스니치,,,2013-05-09,,41407,287796500
몽타주,,,2013-05-16,,2089900,14963346500
위대한 개츠비,,,2013-05-16,,1418938,10393588643
미나문방구,,,2013-05-16,,302282,2042673000
분노의 질주: 더 맥시멈,,,2013-05-22,,1774615,13098437042
비포 미드나잇,,,2013-05-22,,163434,1196318900
스타트렉 다크니스,,,2013-05-30,,1590509,12860656000
애프터 어스,,,2013-05-30,,524610,3740441167
뜨거운 안녕,,,2013-05-30,,36769,248295000
은밀하게 위대하게,,,2013-06-05,,6950740,48647423913
무서운 이야기 2,,,2013-06-05,,493837,3382394500
백악관 최후의 날,,,2013-06-05,,161481,1146472000
극장판 썬더일레븐 GO VS 골판지 전사 W,,,2013-06-05,,30210,199876500
맨 오브 스틸,,,2013-06-13,,2174538,17043514898
월드 워 Z,,,2013-06-20,,5218825,38425682000
더 콜,,,2013-06-20,,86398,609825134
닥터,,,2013-06-20,,45162,338904500
토토의 움직이는 숲,,,2013-06-20,,60408,390791500
꼭두각시,,,2013-06-20,,21432,159299000
더 웹툰: 예고살인,,,2013-06-27,,1194450,8498172070
화이트 하우스 다운,,,2013-06-27,,566624,3996899500
쥬라기 공원,,,1993-07-17,,40092,489728500
빅 웨딩,,,2013-06-27,,32415,223228500
감시자들,,,2013-07-03,,5500389,39327312679
론 레인저,,,2013-07-04,,386976,2746196500
쿵후팬더: 영웅의 탄생,,,2013-07-04,,70987,449675000
퍼시픽 림,,,2013-07-11,,2531873,20409084012
사이드 이펙트,,,2013-07-11,,23440,169334000
미스터 고,,,2013-07-17,,1303250,9167055000
레드: 더 레전드,,,2013-07-18,,2986373,21429074970
터보,,,2013-07-25,,1915404,13066917000
토니 스토리: 깡통제국의 비밀,,,2013-07-18,,43372,281142000
더 울버린,,,2013-07-25,,1066227,7763582000
더 테러 라이브,,,2013-07-31,,5580701,39847400317
극장판 도라에몽: 진구의 비밀도구 박물관,,,2013-07-25,,110898,711497000
설국열차,,,2013-08-01,,9321959,66818452500
개구쟁이 스머프 2,,,2013-08-01,,915594,5956385000
에픽 : 숲속의 전설 ,,,2013-08-07,,945559,6536891000
명탐정 코난 : 수평선상의 음모,,,2013-08-07,,359687,2275582500
감기,,,2013-08-14,,3107800,21711645000
숨바꼭질,,,2013-08-14,,5581942,39441835000
슈퍼윙스 3D,,,2013-08-14,,32449,201163500
나우 유 씨 미 : 마술사기단,,,2013-08-22,,2713410,19112840369
R.I.P.D. : 알.아이.피.디.,,,2013-08-22,,74201,537346571
일대종사,,,2013-08-22,,81257,582290500
엘리시움,,,2013-08-29,,1201354,8974953500
잡스,,,2013-08-29,,217319,1541709636
슈퍼배드 2,,,2013-09-12,,941026,6459018000
드래곤볼Z : 신들의 전쟁,,,2013-08-29,,34252,226528000
스파이,,,2013-09-05,,3405822,24318271805
바람이 분다,,,2013-09-05,,78026,551346500
관상,,,2013-09-11,,9121108,65914706500
섀도우 헌터스: 뼈의 도시,,,2013-09-12,,561125,3968239000
몬스터 대학교,,,2013-09-12,,860213,5809988000
퍼시 잭슨과 괴물의 바다,,,2013-09-12,,512277,3742916609
컨저링,,,2013-09-17,,2259289,16328109277
프리버즈: 밍쿠와 찌아의 도시 대탈출,,,2013-09-17,,39103,259843000
히든 카드,,,2013-09-26,,120640,869337096
블루 재스민,,,2013-09-25,,54741,397244000
소원,,,2013-10-02,,2687628,18390287100
깡철이,,,2013-10-02,,1197467,8501041962
프리즈너스,,,2013-10-02,,182252,1334563000
로덴시아: 마법왕국의 전설,,,2013-10-02,,88108,570664500
정글번치 : 빙산으로의 귀환,,,2013-10-02,,42032,270546805
화이: 괴물을 삼킨 아이,,,2013-10-09,,2370593,17524880295
러시 : 더 라이벌,,,2013-10-09,,119596,875889500
그래비티,,,2013-10-17,,3292521,32412291000
롤러코스터,,,2013-10-17,,262853,1863329100
밤의 여왕,,,2013-10-17,,247275,1728155500
캡틴 필립스,,,2013-10-23,,219077,1525642434
공범,,,2013-10-24,,1764638,12324409382
톱스타,,,2013-10-24,,164000,1123171500
배우는 배우다,,,2013-10-24,,85298,628866500
토르: 다크 월드,,,2013-10-30,,3015162,22350686000
노브레싱,,,2013-10-30,,443719,2953848739
응징자,,,2013-10-30,,188140,1359939500
화이트 고릴라,,,2013-10-31,,53028,349463000
동창생,,,2013-11-06,,1032152,6931670626
더 퍼지,,,2013-11-06,,135353,1018728500
세이프 헤이븐,,,2013-11-06,,24389,177148500
친구 2,,,2013-11-14,,2964798,21759609513
더 파이브,,,2013-11-14,,714995,5228235000
카운슬러,,,2013-11-14,,126394,919076500
블랙 가스펠,,,2013-11-14,,23765,170896000
헝거게임: 캣칭 파이어,,,2013-11-21,,1114894,7779628000
결혼전야,,,2013-11-21,,1191464,8303836719
하늘에서 음식이 내린다면 2,,,2013-11-21,,785208,5339227500
열한시,,,2013-11-28,,862086,6043041500
창수,,,2013-11-28,,404990,2978968500
리딕,,,2013-11-28,,93783,670237500
어바웃 타임,,,2013-12-05,,3435478,25223609300
인시디어스: 두번째 집,,,2013-12-05,,573744,3974716000
이스케이프 플랜,,,2013-12-05,,292332,2102888179
버틀러: 대통령의 집사,,,2013-11-28,,108222,759425000
호빗: 스마우그의 폐허,,,2013-12-12,,2222016,17379010816
집으로 가는 길,,,2013-12-11,,1827986,12863644745
변호인,,,2013-12-18,,11311449,82444088000
캐치미,,,2013-12-18,,468006,3210687500
다이노소어 어드벤처 3D,,,2013-12-19,,583883,4743029500
비행기,,,2013-12-19,,193123,1384726500
세이빙 산타,,,2013-12-19,,209670,1353200000
용의자,,,2013-12-24,,4127745,30014103000
썬더와 마법저택,,,2013-12-24,,880137,5962594500
엔더스 게임,,,2013-12-31,,642617,4842825500
월터의 상상은 현실이 된다,,,2013-12-31,,901333,6585809299
저스틴,,,2013-12-31,,204779,1378315500
타잔 3D,,,2014-01-09,,590861,4416435500
플랜맨,,,2014-01-09,,602310,4319641058
더 울프 오브 월스트리트,,,2014-01-09,,553081,4247515500
"극장판 포켓몬스터 베스트위시: 신의 속도 게노세크트, 뮤츠의 각성",,,2014-01-09,,311436,2025275500
겨울왕국,,,2014-01-16,,10324794,82736415601
잭 라이언 : 코드네임 쉐도우,,,2014-01-16,,319299,2336624000
수상한 그녀,,,2014-01-22,,8642334,62618369749
피끓는 청춘,,,2014-01-22,,1648531,11497371388
남자가 사랑할 때,,,2014-01-22,,1933102,14184775500
극장판 가면라이더 VS 파워레인저 슈퍼히어로 대전,,,2014-01-23,,41056,275590000
조선미녀삼총사,,,2014-01-29,,473755,3425430321
넛잡: 땅콩 도둑들,,,2014-01-29,,433345,3016432500
폴리스 스토리 2014,,,2014-01-29,,122645,916039500
인사이드 르윈 ,,,2014-01-29,,38262,301869000
디노타샤: 공룡대탐험,,,2014-01-29,,20729,146713500
프랑켄슈타인: 불멸의 영웅,,,2014-02-06,,295143,2146615123
또 하나의 약속,,,2014-02-06,,443825,3149170100
레고 무비,,,2014-02-06,,164445,1128529000
로보캅,,,2014-02-13,,974420,7262030758
관능의 법칙,,,2014-02-13,,763858,5727826500
신이 보낸 사람,,,2014-02-13,,394472,2870824200
명탐정 코난 : 탐정들의 진혼가 ,,,2014-02-13,,155131,1018307000
폼페이: 최후의 날,,,2014-02-20,,1364158,10234714700
찌라시: 위험한 소문,,,2014-02-20,,1217370,9082797587
아메리칸 허슬,,,2014-02-20,,85322,664765500
논스톱,,,2014-02-27,,2083644,16060536940
노예 12년,,,2014-02-27,,494259,3618600200
모뉴먼츠 맨: 세기의 작전,,,2014-02-27,,55115,416870627
300: 제국의 부활,,,2014-03-06,,1586198,13343889900
다이애나,,,2014-03-06,,39326,286713800
우아한 거짓말,,,2014-03-13,,1604898,11646474300
몬스터,,,2014-03-13,,522199,4105242015
원 챈스,,,2014-03-13,,58634,439604900
노아,,,2014-03-20,,2020047,15469969000
그랜드 부다페스트 호텔,,,2014-03-20,,758009,5887435800
벨과 세바스찬,,,2014-03-20,,21875,157914300
캡틴 아메리카: 윈터 솔져,,,2014-03-26,,3959198,31679831585
초원의 왕 도제,,,2014-03-27,,17494,121455500
쓰리데이즈 투 킬,,,2014-04-03,,219823,1683138600
론 서바이버 ,,,2014-04-02,,179968,1356327820
짱구는 못말려 극장판：엄청 맛있어! B급 음식 서바이벌!,,,2014-04-03,,47476,333191200
어거스트: 가족의 초상,,,2014-04-03,,40518,314835700
백프로,,,2014-04-03,,29136,223219000
방황하는 칼날,,,2014-04-10,,989389,7824741300
헤라클레스 : 레전드 비긴즈,,,2014-04-10,,212961,1606089151
선 오브 갓,,,2014-04-10,,309120,2253308500
가시,,,2014-04-10,,133740,1034408500
다이버전트,,,2014-04-16,,421459,3277493011
니드 포 스피드,,,2014-04-16,,102792,816922600
한공주,,,2014-04-17,,211094,1675373800
페이스 오브 러브,,,2014-04-16,,71091,527739705
어메이징 스파이더맨 2,,,2014-04-23,,4136519,34621008800
천재 강아지 미스터 피바디,,,2014-04-24,,372847,2768844400
역린,,,2014-04-30,,3839411,29821447790
표적,,,2014-04-30,,2836918,22223989500
리오 2,,,2014-05-01,,749754,5561365200
라스트베가스,,,2014-05-08,,164313,1266559195
몬스터 왕국,,,2014-05-01,,35549,243752100
인간중독,,,2014-05-14,,1426083,11175339200
고질라,,,2014-05-15,,692019,5828258163
트랜센던스,,,2014-05-14,,689949,5434622000
엑스맨: 데이즈 오브 퓨처 패스트,,,2014-05-22,,4310013,34624443066
도희야,,,2014-05-22,,72393,583901800
그녀,,,2014-05-22,,309344,2521191800
더 바디,,,2014-05-22,,46128,355270000
끝까지 간다,,,2014-05-29,,3442630,26950815800
말레피센트,,,2014-05-29,,1395144,10760489000
오큘러스,,,2014-05-29,,257030,1954102500
극장판 루팡 3세 VS 명탐정 코난,,,2014-05-29,,207858,1457561305
엣지 오브 투모로우,,,2014-06-04,,4678236,38569973201
우는 남자,,,2014-06-04,,579242,4741269400
하이힐,,,2014-06-03,,312399,2515498600
황제를 위하여,,,2014-06-11,,581465,4672304471
경주,,,2014-06-12,,38319,293291800
베스트 오퍼,,,2014-06-12,,23169,180030600
미녀와 야수,,,2014-06-18,,310961,2356899700
그레이스 오브 모나코,,,2014-06-18,,216761,1609403800
창문 넘어 도망친 100세 노인,,,2014-06-18,,235681,1787243671
님포매니악 볼륨1,,,2014-06-18,,27505,218141100
트랜스포머: 사라진 시대,,,2014-06-25,,5286024,43941748845
신의 한 수,,,2014-07-03,,3563970,28792508456
소녀괴담,,,2014-07-02,,479275,3538282754
나쁜 이웃들 ,,,2014-07-03,,40674,329384700
혹성탈출: 반격의 서막,,,2014-07-10,,4001487,31506465095
좋은 친구들,,,2014-07-10,,406034,3213001031
더 시그널,,,2014-07-09,,101919,782631828
주온 : 끝의 시작,,,2014-07-16,,395456,2962811531
분신사바 2,,,2014-07-16,,78671,572931300
천하무적 키코리키,,,2014-07-17,,19122,134061100
군도: 민란의 시대,,,2014-07-23,,4741281,36743972099
드래곤 길들이기 2,,,2014-07-23,,2981802,23848649189
프란시스 하,,,2014-07-17,,56524,445556800
마담 프루스트의 비밀정원,,,2014-07-24,,79974,627491242
명량,,,2014-07-30,,17597914,135641990210
가디언즈 오브 갤럭시,,,2014-07-31,,1329992,11264413984
터키,,,2014-07-31,,103859,734161000
해적: 바다로 간 산적,,,2014-08-06,,8625574,66189968806
명탐정 코난 : 이차원의 저격수,,,2014-08-06,,349986,2426785300
허큘리스,,,2014-08-06,,69252,542294300
해무(海霧),,,2014-08-13,,1461574,11603339119
"안녕, 헤이즐",,,2014-08-13,,721675,5623373700
비행기 2: 소방구조대,,,2014-08-13,,281867,2041786900
비긴 어게인,,,2014-08-13,,3697882,29448872011
극장판 포켓몬스터 AG - 아름다운 소원의 별 지라치,,,2014-08-13,,55671,398561300
익스펜더블 3,,,2014-08-20,,149336,1140434000
더 기버: 기억전달자,,,2014-08-20,,79925,618608100
인투 더 스톰,,,2014-08-28,,2067173,16073779332
닌자터틀,,,2014-08-28,,373866,3114845047
브릭 맨션: 통제불능 범죄구역,,,2014-08-27,,66054,478532747
더 퍼지 : 거리의 반란,,,2014-08-27,,50280,381888400
타짜-신의 손,,,2014-09-03,,4011788,32355158927
루시,,,2014-09-03,,1966746,16407346339
두근두근 내 인생,,,2014-09-03,,1616325,12234787834
스텝 업: 올 인,,,2014-09-03,,544609,4192869234
마야,,,2014-09-04,,212309,1572085200
극장판 도라에몽: 진구의 아프리카 모험 ~베코와 5인의 탐험대~,,,2014-09-04,,154764,1108780400
메이즈 러너,,,2014-09-18,,2807658,21453841977
툼스톤,,,2014-09-18,,221079,1719143047
베리 굿 걸,,,2014-09-25,,75381,574190345
제보자,,,2014-10-02,,1745594,13452437902
슬로우 비디오,,,2014-10-02,,1140324,8709583219
애나벨,,,2014-10-02,,882502,6758787243
마담 뺑덕,,,2014-10-02,,425553,3393752090
"극장판 파워레인저 다이노포스VS고버스터즈 공룡 대결전! ~안녕, 영원한 친구여!~",,,2014-10-02,,177116,1288052300
정글히어로,,,2014-10-02,,50861,374740600
나의 사랑 나의 신부,,,2014-10-08,,2125585,16525589005
드라큘라: 전설의 시작,,,2014-10-08,,1320565,10598718308
맨홀,,,2014-10-08,,107544,880712030
노벰버 맨,,,2014-10-16,,240227,1801740820
컬러풀 웨딩즈,,,2014-10-16,,171740,1315620680
나를 찾아줘,,,2014-10-23,,1745972,13871969731
우리는 형제입니다,,,2014-10-23,,964549,7226027899
레드카펫,,,2014-10-23,,310915,2363032780
보이후드,,,2014-10-23,,156937,1205921365
나의 독재자,,,2014-10-30,,382500,2884118046
내가 잠들기 전에,,,2014-10-30,,35433,281293300
인터스텔라,,,2014-11-06,,10370394,83459526500
패션왕,,,2014-11-06,,583436,4295903079
박스트롤,,,2014-11-06,,85150,614725500
카트,,,2014-11-13,,770962,5620080633
아더 우먼,,,2014-11-13,,75340,566531418
울브스,,,2014-11-13,,41975,302326169
왓 이프,,,2014-11-13,,20183,153096200
헝거게임: 모킹제이,,,2014-11-20,,835938,6265471644
퓨리,,,2014-11-20,,1348948,10275594586
아빠를 빌려드립니다,,,2014-11-20,,153576,1082725900
부니 베어: 롤라 구출 대모험,,,2014-11-20,,23627,167876700
빅매치,,,2014-11-27,,1174667,8930390578
덤 앤 더머 투,,,2014-11-27,,181132,1358560785
"님아, 그 강을 건너지 마오",,,2014-11-27,,4746458,36971343179
꾸뻬씨의 행복여행,,,2014-11-27,,89773,666848383
엑소더스: 신들과 왕들,,,2014-12-03,,1497026,12338567726
덕수리 5형제,,,2014-12-04,,201303,1525020500
사랑에 대한 모든 것,,,2014-12-10,,258778,2010364046
"러브, 로지",,,2014-12-10,,272550,2071272246
뽀로로 극장판 눈요정 마을 대모험,,, ,,216503,1083730600
국제시장,,,2014-12-17,,14198690,110503513230
호빗: 다섯 군대 전투,,,2014-12-17,,2816638,24103973685
기술자들,,,2014-12-24,,2506515,19443145183
상의원,,,2014-12-24,,761853,5986545064
눈의 여왕 2: 트롤의 마법거울,,,2014-12-24,,584282,4262462100
숲속으로,,,2014-12-24,,267624,2054915488
일곱난쟁이,,,2014-12-24,,133411,965720600
테이큰 3,,,2015-01-01,,1973099,15844320200
마다가스카의 펭귄,,,2014-12-31,,1646782,12402140459
개를 훔치는 완벽한 방법,,,2014-12-31,,155810,1192351965
언브로큰,,,2015-01-07,,202647,1594950692
패딩턴,,,2015-01-07,,292537,2169741229
워킹걸,,,2015-01-07,,108449,886869479
타임 패러독스,,,2015-01-07,,64837,514666108
오늘의 연애,,,2015-01-14,,1879010,14824363987
허삼관,,,2015-01-14,,939342,7289807069
박물관이 살아있다 : 비밀의 무덤,,,2015-01-14,,1097568,8142413806
극장판 포켓몬스터 XY : 파괴의 포켓몬과 디안시,,,2015-01-14,,178035,1262687200
아메리칸 스나이퍼,,,2015-01-14,,257103,2080681338
강남 1970,,,2015-01-21,,2166921,17529262299
빅 히어로,,,2015-01-21,,2700367,21234266765
존 윅,,,2015-01-21,,92569,746256537
엑스 마키나,,,2015-01-21,,55192,449329263
내 심장을 쏴라,,,2015-01-28,,371780,2741962832
워터 디바이너,,,2015-01-28,,101128,749827235
더 이퀄라이저,,,2015-01-28,,62869,488978900
빅 아이즈,,,2015-01-28,,55091,423368235
쎄시봉,,,2015-02-05,,1693215,13419036411
주피터 어센딩,,,2015-02-05,,253291,2230796279
센과 치히로의 행방불명,,,2002-06-27,,85317,677277800
최강전사 미니특공대 : 새로운 악당의 습격,,,2015-02-05,,83630,632761800
조선명탐정 : 사라진 놉의 딸,,,2015-02-11,,3832898,30172666328
킹스맨 : 시크릿 에이전트,,,2015-02-11,,6126021,50340621795
도라에몽 : 스탠 바이 미,,,2015-02-12,,462056,3372986829
오즈의 마법사: 돌아온 도로시,,,2015-02-12,,223163,1644752900
명탐정 코난 : 코난 실종사건 - 사상 최악의 이틀,,,2015-02-12,,197187,1457079400
7번째 아들,,,2015-02-11,,74742,595831251
이미테이션 게임,,,2015-02-17,,1716576,13488810520
스폰지밥 3D,,,2015-02-18,,295863,2240348600
그레이의 50가지 그림자,,,2015-02-26,,343628,2754981996
백 투 더 비기닝,,,2015-02-26,,257025,1943564700
기생수 파트1,,,2015-02-26,,166223,1375774085
순수의 시대,,,2015-03-05,,447249,3583422128
헬머니,,,2015-03-05,,516818,4076978472
버드맨,,,2015-03-05,,178701,1448793100
세인트 빈센트,,,2015-03-05,,63024,497154928
살인의뢰,,,2015-03-12,,842282,6893791637
채피,,,2015-03-12,,569288,4587576454
위플래쉬,,,2015-03-12,,1695263,13657862385
소셜포비아,,,2015-03-12,,246722,1941197563
드래곤 블레이드,,,2015-03-12,,39439,301679300
신데렐라,,,2015-03-19,,702233,5392685100
런 올 나이트,,,2015-03-19,,288604,2286851495
추억의 마니,,,2015-03-19,,22799,175718200
스물,,,2015-03-25,,3031466,23472584186
인서전트,,,2015-03-25,,274304,2095341089
분노의 질주: 더 세븐,,,2015-04-01,,3206228,26122627194
송 원,,,2015-04-01,,34132,253716543
팔로우,,,2015-04-02,,24310,204480543
윈드랜드,,,2015-04-02,,20418,148559700
장수상회,,,2015-04-09,,1139592,8574925443
화장,,,2015-04-09,,122332,926836900
코블러,,,2015-04-08,,28415,222363532
한 번 더 해피엔딩,,,2015-04-08,,27059,212710051
엘리노어 릭비: 그 남자 그 여자,,,2015-04-09,,38896,314566000
더 건맨,,,2015-04-16,,106371,825864465
위자,,,2015-04-16,,71994,558899535
유고와 라라: 하늘고래와 구름섬 대모험,,,2015-04-09,,38432,279850600
어벤져스: 에이지 오브 울트론,,,2015-04-23,,10501765,88627465146
짱구는 못말려 극장판 : 정면승부! 로봇아빠의 역습,,,2015-04-23,,146852,1062451700
약장수,,,2015-04-23,,27559,208194400
"땡큐, 대디",,,2015-04-23,,23487,170357061
차이나타운,,,2015-04-29,,1466767,11948083867
위험한 상견례 2,,,2015-04-29,,463764,3514139054
다이노 타임,,,2015-04-30,,273264,2029362300
노아의 방주: 남겨진 녀석들,,,2015-04-30,,205424,1486773700
빌리와 용감한 녀석들 3,,,2015-04-30,,92946,663375200
스틸 앨리스,,,2015-04-29,,102160,786851646
언프렌디드: 친구삭제,,,2015-05-07,,211732,1585363641
연애의 맛,,,2015-05-07,,212691,1712212153
악의 연대기,,,2015-05-14,,2184571,17305012032
매드 맥스: 분노의 도로,,,2015-05-14,,3910308,33620216862
위아영,,,2015-05-14,,49418,395087987
말할 수 없는 비밀,,,2008-01-10,,145157,1013931200
스파이,,,2015-05-21,,2300898,18282590158
간신,,,2015-05-21,,1107273,8925087910
홈,,,2015-05-21,,353865,2641293791
무뢰한,,,2015-05-27,,402758,3168310531
투모로우랜드,,,2015-05-27,,259658,2037121600
피치 퍼펙트: 언프리티 걸즈,,,2015-05-28,,56590,446309297
사이코패스,,,2015-05-28,,16595,134494000
샌 안드레아스,,,2015-06-03,,1712507,14405032352
은밀한 유혹,,,2015-06-04,,145154,1135107247
령 : 저주받은 사진,,,2015-06-04,,34921,265068253
쥬라기 월드,,,2015-06-11,,5540864,47757116026
꼬마 유령,,,2015-06-11,,10595,74880900
극비수사,,,2015-06-18,,2816529,22057268497
경성학교: 사라진 소녀들,,,2015-06-18,,344923,2664519800
심야식당,,,2015-06-18,,108917,862166074
소수의견,,,2015-06-24,,372067,2806617405
연평해전,,,2015-06-24,,6036988,45528952430
나의 절친 악당들,,,2015-06-25,,129857,1025599164
19곰 테드 2,,,2015-06-25,,155803,1259252300
터미네이터 제니시스,,,2015-07-02,,3231238,26488181129
리틀드래곤 코코넛,,,2015-07-02,,29257,219166000
라자루스,,,2015-07-02,,17102,136174000
인사이드 아웃,,,2015-07-09,,4941734,37809429136
손님,,,2015-07-09,,826083,6373057080
인시디어스 3,,,2015-07-09,,824816,6391287220
우먼 인 골드,,,2015-07-09,,96949,743481900
러덜리스,,,2015-07-09,,26733,213484820
픽셀,,,2015-07-16,,681203,5385516947
쓰리 썸머 나잇,,,2015-07-15,,62162,497276346
다크 플레이스,,,2015-07-15,,51192,414500354
암살,,,2015-07-22,,12679383,98268589081
극장판 요괴워치: 탄생의 비밀이다냥!,,,2015-07-22,,532699,3760122100
미션 임파서블: 로그네이션,,,2015-07-30,,6117472,48475649507
미니언즈,,,2015-07-29,,2582937,18684093678
고녀석 맛나겠다2 : 함께라서 행복해,,,2015-07-29,,47079,328756800
베테랑,,,2015-08-05,,13397762,105058481650
명탐정 코난 : 화염의 해바라기,,,2015-08-05,,414680,2894683600
아마조니아,,,2015-08-05,,17319,125853000
"협녀, 칼의 기억",,,2015-08-13,,415016,3238938889
미쓰 와이프,,,2015-08-13,,973822,7303443666
숀더쉽,,,2015-08-13,,60188,436218300
뷰티 인사이드,,,2015-08-20,,2039642,16045075631
판타스틱 4,,,2015-08-20,,392325,2973845000
퇴마: 무녀굴,,,2015-08-20,,90057,719331000
치외법권,,,2015-08-27,,339763,2617960705
아메리칸 울트라,,,2015-08-27,,123541,1010683095
앤트맨,,,2015-09-03,,2838917,23508796837
오피스,,,2015-09-03,,423925,3330114630
갤로우즈,,,2015-09-03,,87647,677551806
히트맨: 에이전트 47,,,2015-09-03,,44917,356731600
함정,,,2015-09-10,,252429,2048060900
셀프/리스,,,2015-09-10,,110077,866331764
스트레이트 아웃 오브 컴턴,,,2015-09-10,,26255,224148400
사도,,,2015-09-16,,6229050,48720690101
메이즈 러너: 스코치 트라이얼,,,2015-09-16,,2721287,21426614749
극장판 도라에몽 : 진구의 우주영웅기~스페이스 히어로즈~,,,2015-09-17,,49952,359113500
탐정 : 더 비기닝,,,2015-09-24,,2618883,20417769573
인턴,,,2015-09-24,,3602931,28462910148
서부전선,,,2015-09-24,,604384,4721155400
에베레스트,,,2015-09-24,,315823,2920003748
뮨: 달의 요정,,,2015-09-24,,291260,2134654900
더 매직: 리틀톰과 도둑공주,,,2015-09-24,,77789,573245000
마션,,,2015-10-08,,4872780,39605944295
성난 변호사,,,2015-10-08,,1124137,8695004139
팬,,,2015-10-08,,180105,1383363192
트랜스포터: 리퓰드,,,2015-10-15,,158174,1241478915
더 비지트,,,2015-10-15,,38395,299883881
비밀,,,2015-10-15,,37750,282541100
아델라인 : 멈춰진 시간,,,2015-10-15,,38771,299944519
더 폰,,,2015-10-22,,1590883,12289697568
특종: 량첸살인기,,,2015-10-22,,584474,4515042518
돌연변이,,,2015-10-22,,96374,721395384
그놈이다,,,2015-10-28,,1031496,7994624952
하늘을 걷는 남자,,,2015-10-28,,227616,2176598753
맨 프롬 UNCLE,,,2015-10-28,,78767,618089753
미안해 사랑해 고마워,,,2015-10-28,,36065,258745500
검은 사제들,,,2015-11-05,,5437772,42374476592
스파이 브릿지,,,2015-11-05,,261428,2025486478
더 셰프,,,2015-11-05,,177275,1413396848
아더와 미니모이 3: 두 세계의 전쟁,,,2015-11-05,,38915,284045200
007 스펙터,,,2015-11-11,,1778136,13977002030
개구리왕국,,,2015-11-12,,42548,297461000
내부자들,,,2015-11-19,,7068121,56573537557
헝거게임: 더 파이널,,,2015-11-18,,766613,5774594963
프리덤,,,2015-11-19,,35221,258880300
열정같은소리하고있네,,,2015-11-25,,639549,4660029802
도리화가,,,2015-11-25,,300719,2140499839
괴물의 아이,,,2015-11-25,,173321,1290028816
극장판 파워레인저 트레인포스 VS 다이노포스 THE MOVIE,,,2015-11-26,,50147,369865400
크림슨 피크,,,2015-11-25,,31888,260040800
하트 오브 더 씨,,,2015-12-03,,806723,6758271223
극적인 하룻밤,,,2015-12-03,,319883,2602969929
사우스포,,,2015-12-03,,64836,506117748
시카리오: 암살자의 도시,,,2015-12-03,,109086,881995452
뽀로로 극장판 컴퓨터 왕국 대모험,,,2015-12-10,,357364,2654128400
레전드,,,2015-12-10,,178154,1423549930
보루토 - 나루토 더 무비,,,2015-12-10,,59715,443832200
파더 앤 도터,,,2015-12-10,,46792,363993200
히말라야,,,2015-12-16,,7725579,59912805715
스타워즈: 깨어난 포스,,,2015-12-17,,3232797,28010879831
대호,,,2015-12-16,,1713936,13138733332
몬스터 호텔 2,,,2015-12-24,,1453449,10649169276
어린왕자,,,2015-12-23,,522232,3921659027
포켓몬 더 무비 XY 후파: 광륜의 초마신,,,2015-12-23,,165058,1187585200
스누피: 더 피너츠 무비,,,2015-12-24,,117886,917790500
내부자들: 디 오리지널,,,2015-12-31,,2070126,16860243775
셜록: 유령신부,,,2016-01-02,,1261077,9859391249
조선마술사,,,2015-12-30,,612700,4534596127
라스트 위치 헌터,,,2015-12-30,,105596,809194800
굿 다이노,,,2016-01-07,,1321866,9709680738
나를 잊지 말아요,,,2016-01-07,,414345,3317335200
포인트 브레이크,,,2016-01-07,,279450,2211233851
짱구는 못말려 극장판: 나의 이사 이야기 선인장 대습격,,,2016-01-07,,169822,1236772900
레버넌트: 죽음에서 돌아온 자,,,2016-01-14,,1946981,15613976730
그날의 분위기,,,2016-01-14,,644822,5086492612
구스범스,,,2016-01-14,,285903,2139368412
오빠생각,,,2016-01-21,,1060103,7995444887
빅쇼트,,,2016-01-21,,399739,3228478307
극장판 꼬마버스 타요의 에이스 구출작전,,,2016-01-21,,109815,737752900
스티브 잡스,,,2016-01-21,,42317,336402107
쿵푸팬더3,,,2016-01-28,,3898675,30722547056
"로봇, 소리",,,2016-01-27,,466462,3451563960
검사외전,,,2016-02-03,,9664799,76993070464
앨빈과 슈퍼밴드: 악동 어드벤처,,,2016-02-04,,267023,1951230800
캐롤,,,2016-02-04,,350195,2883099385
최강전사 미니특공대: 영웅의 탄생,,,2016-02-04,,109324,823586500
극장판 아이엠스타 : 꿈의 오디션!,,,2016-02-11,,129907,963904500
데드풀,,,2016-02-17,,3303561,27487391251
번개맨,,,2016-02-11,,53366,406290100
좋아해줘,,,2016-02-17,,835704,6478054037
주토피아,,,2016-02-17,,4695025,37017403642
동주,,,2016-02-17,,1138753,8652077089
대니쉬 걸,,,2016-02-17,,53132,432813984
빌리와 용감한 녀석들: 치킨 히어로,,,2016-02-17,,22234,154614700
귀향,,,2016-02-24,,3571853,27145132890
순정,,,2016-02-24,,182958,1307814933
남과 여,,,2016-02-25,,192070,1561281633
스포트라이트,,,2016-02-24,,269287,2157980087
제 5침공,,,2016-02-25,,87122,670085400
갓 오브 이집트,,,2016-03-03,,918591,7612161124
13시간,,,2016-03-03,,138624,1112921814
런던 해즈 폴른,,,2016-03-10,,707068,5722999979
널 기다리며,,,2016-03-10,,622268,5136654136
조이,,,2016-03-10,,158926,1278053400
