title,director,country,release_date,genres,누적관객수,누적매출액,평점
구마수녀 - 들러붙었구나,Na Hong-jin,South Korea,2025-07-17,Horror,,,7
우리들의 교복시절,Chuang Ching-shen,Taiwan,2025-07-11,Drama,,,7
하이파이브,Kang Hyeong-cheol,South Korea,2025-05-30,Comedy,1876330.0,17407288770.0,7
약물 중독 환자로 인해 타락하는 청순 간호사,Kitorune Kawaguchi,Japan,2025-07-16,Drama,,,7
절친의 거유 아내를 탐하고 조련하는 친구,Unknown_Random,Japan,2025-07-16,Drama,,,4
킹 오브 킹스,Jang Sung-ho,South Korea,2025-07-16,Animation,730125.0,6924338386.0,7
커미션,Shin Jae-min,South Korea,2025-07-16,Mystery,,,7
일과 날,"Unknown_Random, Unknown_Random",South Korea,2025-07-16,Documentary,,,7
미세리코르디아,Alain Guiraudie,"France, Spain, Portugal",2025-07-16,Drama,,,7
메간 2.0,Gerald Johnstone,United States,2025-07-16,Horror,15892.0,152101550.0,7
꿈꾸는 사진관,Jeong Cho-sin,South Korea,2025-07-16,Drama,,,7
1승,Shin Yeon-shick,South Korea,2024-12-04,Drama,316483.0,2766937830.0,8
남색대문,Li Qian,Taiwan,2021-08-18,Drama,,,7
봄밤,Kang Mi-ja,South Korea,2025-07-09,Drama,,,7
쥬라기 월드: 새로운 시작,Gareth Edwards,United States,2025-07-02,Unknown_Random,2162558.0,20609979110.0,7
탈명검: 첩혈강호,Unknown_Random,China,2022-02-15,Action,,,8
내가 누워있을 때,Choi Jeong-mun,South Korea,2025-05-28,Drama,,,7
노이즈,Kim Su-jin,South Korea,2025-06-25,Horror,1637855.0,16064564810.0,7
"하이큐!! 리에프 등장! & VS""낙제점""",Mitsunaka Susumu,Japan,2025-07-31,Animation,,,7
하이브 시네마 노래방,Unknown_Random,South Korea,2025-07-10,Unknown,,,3
투모로우바이투게더 월드 투어 '액트 : 스위트 미라지',Unknown_Random,South Korea,2025-07-10,Concert,,,9
영화 코바야시네 메이드래곤 외로움쟁이 용,Ishihara Tatsuy,Japan,2025-07-10,Animation,,,7
엔하이픈 월드 투어 '페이트',Unknown_Random,South Korea,2025-07-10,Concert,,,9
세븐틴 월드 투어 '비 더 선',Unknown_Random,South Korea,2025-07-10,Concert,,,7
방탄소년단 '맵 오브 더 소울 : 원',Unknown_Random,South Korea,2025-07-10,Concert,,,9
여름이 지나가면,Jang Byung-ki,South Korea,2025-07-09,Drama,,,7
발코니의 여자들,Noémie Lvovsky,France,2025-07-09,Comedy,,,8
슈퍼맨,James Gunn,United States,2025-07-09,Action,841255.0,8505481900.0,8
뮤지컬 라파치니의 정원,Unknown_Random,South Korea,2025-07-09,Concert,,,6
괴기열차,Tak Se-ung,South Korea,2025-07-09,Horror,92535.0,860619210.0,7
영면,"Unknown_Random, Unknown_Random, Unknown_Random, Unknown_Random",South Korea,2021-07-01,Drama,,,7
자기만의 방,Oh Se-ho,South Korea,2024-11-20,Family,,,7
사스콰치 선셋,"Unknown_Random, Unknown_Random",United States,2025-07-02,Comedy,,,7
힘을 낼 시간,Namkoong Sun,South Korea,2024-12-18,Drama,,,7
신명,Unknown_Random,South Korea,2025-06-02,Drama,777701.0,7407342580.0,6
된장이,Jo Han-byeol,South Korea,2025-07-02,Comedy,,,7
파과,Min Kyu-dong,South Korea,2025-04-30,Action,546552.0,5221993700.0,7
퀴어,Luca Guadagnino,Italy,2025-06-20,Drama,11028.0,114540100.0,8
바다호랑이,Jeong Yoon-cheol,South Korea,2025-06-25,Drama,,,7
천국은 없다,Son Seung-ung,South Korea,2025-06-25,Action,,,7
엘리오,"Unknown_Random, Unknown_Random, Unknown_Random",United States,2025-06-18,Animation,591746.0,5436452120.0,7
위장수사,Unknown_Random,Unknown_Random,2025-06-27,Crime,,,3
씨지브이 에이아이 영화제 수상작,Unknown_Random,South Korea,2025-06-27,Drama,,,8
씨지브이 에이아이 영화제 노미네이트 작품전,Unknown_Random,South Korea,2025-06-27,Drama,,,6
세하별,Kim Woo-suk,South Korea,2025-06-25,Family,,,7
몽정 시아버지와 며느리,Unknown_Random,South Korea,2025-06-20,Drama,,,8
먹고 싶던 동창의 맛,Unknown_Random,South Korea,2025-06-20,Drama,,,5
태극기 집회 / 7년의 기록,Unknown_Random,South Korea,2025-06-19,Documentary,,,2
여관엄마,Noh Sae-gi,South Korea,2025-06-17,Drama,,,7
28년 후,Danny Boyle,United States,2025-06-19,Horror,346120.0,3098292460.0,8
어거스트 버진,Jonás Trueba,Spain,2022-03-24,Drama,,,8
후레루.,Mari Okada,Japan,2025-06-25,Animation,,,7
모네의 수련. 물과 빛의 마법,Unknown_Random,Italy,2025-06-25,Documentary,,,6
네이키드 런치,David Cronenberg,"Canada, United Kingdom",2025-06-25,Drama,,,7
F1 더 무비,Joseph Kosinski,United States,2025-06-25,Drama,2393834.0,25821549560.0,9
극장판 프로젝트 세카이 부서진 세카이와 전해지지 않는 미쿠의 노래,Unknown_Random,Japan,2025-05-29,Animation,71227.0,678331010.0,8
잉글리시 내셔널 발레 '백조의 호수',Unknown_Random,United Kingdom,2025-06-24,Concert,,,8
악마들,Kim Jae-hun,South Korea,2023-07-05,Action,80476.0,805214658.0,7
악의 도시,Hyun Woo-sung,South Korea,2025-06-20,Thriller,,,7
페니키안 스킴,Wes Anderson,United States,2025-05-28,Drama,19014.0,175033050.0,8
귤레귤레,Ko Bong-soo,South Korea,2025-06-11,Drama,,,10
승리의 시작,Kwon Soon-do,South Korea,2025-06-19,Documentary,,,7
"극장판 뱅드림! 잇츠 마이고!!!!! 후편: 노래하자, 우리가 될 수 있는 노래 & 필름 라이브",Kakimoto Kodai,Japan,2025-06-19,Animation,,,7
풀,Lee Su-jeong,South Korea,2025-06-18,Documentary,,,7
탐정 키엔: 사라진 머리,Victor Vu,Vietnam,2025-06-18,Horror,,,7
차은우 브이알 콘서트 : 메모리즈 (CHA EUN-WOO VR CONCERT : MEMORIES ),Kim Ji-ae,South Korea,2025-06-18,Concert,,,7
잔챙이,Park Joong-ha,South Korea,2025-06-18,Drama,,,9
니캡,Unknown_Random,"Ireland, United Kingdom",2025-06-18,Comedy,,,10
기빗올: 우리들의 썸머,Sakuragi Yuhei,Japan,2025-06-18,Animation,,,7
기타맨,"Unknown_Random, Unknown_Random",South Korea,2025-05-30,Drama,,,7
"다시 만날, 조국","Jeong Yoon-cheol, Unknown_Random",South Korea,2025-05-14,Documentary,,,7
어네스트와 셀레스틴: 멜로디 소동,Unknown_Random,France,2025-06-11,Animation,,,3
공작새,Byun Sung-bin,South Korea,2024-10-23,Drama,,,6
퀸메리호: 저주받은 항해,Gary Shore,United States,2025-06-13,Mystery,,,7
검은 수녀들,Kwon Hyuk-jae,South Korea,2025-01-24,Mystery,1651348.0,15964611180.0,7
나이트 오브 울브즈,Steven C. Miller,United States,2025-06-12,Action,,,7
인피니트 15주년 콘서트 리미티드 에디션 더 무비,Son Seok,South Korea,2025-06-11,Concert,,,7
어브로드,Giovanni Fumu,South Korea,2025-06-11,Mystery,,,7
초상화의 이면. 아카데미아 카라라의 보물들,Unknown_Random,Italy,2025-05-28,Documentary,,,7
미야자키 하야오: 자연의 영혼,Léo Favier,France,2025-05-28,Documentary,,,9
브링 허 백,"Unknown_Random, Unknown_Random",United States,2025-06-06,Horror,62673.0,526119800.0,8
드래곤 길들이기,Dean DeBlois,United States,2025-06-06,Action,1778151.0,17835062630.0,9
극장판 블리치 : 페이드 투 블랙,Unknown_Random,Japan,2025-06-06,Animation,,,4
야당,Hwang Byoung-gook,South Korea,2025-04-16,Crime,3368648.0,31913029430.0,7
2035: 더 그린라이트,Unknown_Random,South Korea,2025-06-04,Mystery,,,9
미치광이 피에로,Unknown_Random,"France, Italy",2025-06-04,Drama,,,3
아마데우스 오리지널 리마스터링,Unknown_Random,United States,2025-06-04,Drama,,,9
분리수거,Unknown_Random,South Korea,2025-05-21,Drama,,,3
위키드,Unknown_Random,United States,2024-11-20,Fantasy,2195165.0,21677201940.0,3
신성한 나무의 씨앗,Unknown_Random,Germany,2025-06-03,Drama,,,8
주차금지,Son Hyun-woo,South Korea,2025-05-21,Thriller,,,7
해피해피,Lee Su-seong,South Korea,2025-05-29,Drama,,,7
스위트홈 감독판,Unknown_Random,South Korea,2025-05-29,Thriller,,,8
기억의 조각,Unknown_Random,South Korea,2025-05-29,Drama,,,10
거룩한 밤: 데몬 헌터스,Unknown_Random,South Korea,2025-04-30,Action,770420.0,7145112600.0,7
나미비아의 사막,Unknown_Random,Japan,2025-05-07,Drama,,,8
씨너스: 죄인들,Unknown_Random,United States,2025-05-28,Action,57722.0,651742780.0,4
브릭레이어,Unknown_Random,Hungary,2025-05-28,Action,,,5
바운디 라이브 인 런던,Unknown_Random,Japan,2025-05-28,Concert,,,10
우주전쟁: 라스트 아포칼립스,Unknown_Random,United States,2025-04-24,Thriller,,,7
쓰나미 10.0,Unknown_Random,United States,2025-04-17,Unknown,,,10
7인의 사무라이,Unknown_Random,United States,2025-04-10,Action,,,4
메가 게이터,Unknown_Random,United States,2025-04-03,Action,,,4
투모로우 아마겟돈,Unknown_Random,United States,2025-05-14,Drama,,,2
파이널 데스티네이션 블러드라인,"Unknown_Random, Unknown_Random",United States,2025-05-14,Horror,70307.0,705711590.0,7
극장판 짱구는 못말려: 격돌! 낙서왕국과 얼추 네 명의 용사들,Unknown_Random,Japan,2021-09-15,Animation,196931.0,1872787000.0,2
말없는 소녀,Unknown_Random,Ireland,2023-05-31,Drama,,,9
케이 넘버,Unknown_Random,South Korea,2025-05-14,Documentary,,,7
릴로 & 스티치,Unknown_Random,United States,2025-05-21,Animation,471299.0,4438117060.0,7
미션 임파서블: 파이널 레코닝,Unknown_Random,United States,2025-05-17,Action,3377496.0,33115290290.0,4
어른 김장하,Unknown_Random,South Korea,2023-11-15,Documentary,,,4
마마무 2021 웨어 아 위 콘서트 더 무비,Son Seok,South Korea,2021-12-03,Concert,,,7
클로즈 유어 아이즈,Unknown_Random,Spain,2024-11-06,Drama,,,5
서브스턴스,Unknown_Random,United Kingdom,2024-12-11,Thriller,507433.0,4950444520.0,6
대가족,Yang Woo-suk,South Korea,2024-12-11,Drama,289598.0,2577236820.0,7
달팽이의 회고록,Adam Elliot,Australia,2025-04-30,Animation,,,9
"부정선거, 신의 작품인가",Unknown_Random,South Korea,2025-05-21,Documentary,22947.0,207743960.0,4
프리 폴,Oleh Urazayev,Russia,2025-05-21,Science Fiction,,,7
전장의 유산,Kim Chae-young,South Korea,2025-05-21,Documentary,,,7
로데오,Lola Kibréon,France,2025-05-21,Drama,,,7
그리드맨 유니버스,Amemiya Akira,Japan,2025-05-21,Animation,,,7
드라이브,Park Dong-hee,South Korea,2024-06-12,Thriller,55613.0,503856455.0,7
사막을 건너 호수를 지나,"Unknown_Random, Unknown_Random",South Korea,2021-12-30,Documentary,,,7
보이 인 더 풀,Ryu Yeon-soo,South Korea,2025-05-14,Drama,,,7
도토리,Heo Young-cheol,South Korea,2024-06-27,Drama,,,7
복수는 나의것,Imamura Shohei,Japan,2024-11-06,Crime,,,7
귀신들,Hwang Seung-jae,South Korea,2025-04-09,Science Fiction,,,7
언더 유어 베드,Sabu,South Korea,2023-12-13,Thriller,,,7
극장판 블리치 : 다이아몬드 더스트 리벨리온,Unknown_Random,Japan,2025-05-16,Animation,,,10
썬레이: 폴른 솔저,Unknown_Random,United Kingdom,2025-05-15,Crime,,,2
노스페라투,Robert Eggers,United States,2025-01-15,Horror,,,8
압수수색: 내란의 시작,Kim Yong-jin,South Korea,2025-04-23,Documentary,41578.0,400446420.0,8
위드 러브,Jonathan Eusebio,United States,2025-05-14,Action,,,7
세븐 베일즈,Atom Egoyan,Canada,2025-05-14,Drama,,,7
극장판 닌자보이 란타로: 도쿠타케 닌자대 최강의 군사,Fujimori Masaya,Japan,2025-05-14,Animation,,,7
그 자연이 네게 뭐라고 하니,Hong Sang-soo,South Korea,2025-05-14,Drama,,,8
고양이 수비대: 모나리자를 지켜라!,Vasily Rovenskiy,Russia,2025-05-14,Animation,,,7
썬더볼츠＊,Jake Schreier,United States,2025-04-30,Action,913622.0,9199158360.0,8
하보우만의 약속,Lee Jang-ho,South Korea,2025-04-16,Documentary,,,6
여성국극 끊어질듯 이어지고 사라질듯 영원하다,Yoo Su-yeon,South Korea,2025-03-19,Documentary,,,7
기도의 힘,Alex Kendrick,United States,2020-04-09,Drama,,,9
비욘드 유토피아,Madeleine Gavin,United States,2024-01-31,Documentary,,,7
탈주,Lee Jong-pil,South Korea,2024-07-03,Action,2544280.0,24075867072.0,8
남으로 가는 길,Kim Sang-rae,"South Korea, Unknown_Random",2025-04-02,Drama,,,7
가면-감춰진 진실,Unknown_Random,Canada,2021-12-31,Documentary,,,7
시대혁명,Unknown_Random,United Kingdom,2022-10-13,Documentary,,,10
페퍼톤스 인 시네마 : 에브리씽 이즈 오케이,Jo Yoon-soo,South Korea,2025-05-09,Concert,,,7
브루탈리스트,Unknown_Random,United States,2025-02-12,Drama,52350.0,531029220.0,9
해피엔드,Unknown_Random,Japan,2025-04-30,Drama,79842.0,777628780.0,6
우리는 공산당이 싫어요,Unknown_Random,South Korea,2025-05-09,Documentary,,,6
로망스,Unknown_Random,South Korea,2025-02-27,Comedy,,,6
쫑알쫑알 똘똘이: 이상한 마을 대모험,Unknown_Random,South Korea,2025-04-30,Animation,,,9
데드 어게인,Son Hyun-woo,South Korea,2025-05-08,Thriller,,,7
드라이브 인 타이페이,Unknown_Random,France,2025-04-11,Action,,,10
어웨이크,Unknown_Random,South Korea,2022-08-24,Mystery,,,5
호랑이 소녀,Unknown_Random,Unknown_Random,2025-05-07,Horror,,,8
"폴킴, 친애하는 당신께",Unknown_Random,South Korea,2025-05-07,Documentary,,,3
에이티즈 월드 투어 [투워즈 더 라이트 : 윌 투 파워] 인 시네마,Oh Yoon-dong,South Korea,2025-05-07,Concert,,,9
기동전사 건담 역습의 샤아,Unknown_Random,Japan,2025-05-07,Animation,,,10
기동전사 건담 F91,Unknown_Random,Japan,2025-05-07,Animation,,,7
괴수 8호: 미션 리컨,Unknown_Random,Japan,2025-05-07,Animation,27346.0,261433520.0,7
천박사 퇴마 연구소: 설경의 비밀,Unknown_Random,South Korea,2023-09-27,Fantasy,1901915.0,18509843557.0,6
하얼빈,Woo Min-ho,South Korea,2024-12-24,Drama,4896225.0,46823971480.0,9
장인과 사위,Unknown_Random,South Korea,2024-02-15,Comedy,,,2
극장판 블리치 : 메모리즈 오브 노바디,Unknown_Random,Japan,2025-05-02,Animation,,,11
시크릿쥬쥬 마법의 하모니,Unknown_Random,South Korea,2025-05-01,Animation,61155.0,555298460.0,4
영동선,Unknown_Random,South Korea,2025-04-30,Drama,,,5
지충일기,"Unknown_Random, Unknown_Random",South Korea,2025-05-01,Drama,,,7
볼레로: 불멸의 선율,Unknown_Random,France,2025-04-30,Drama,,,2
리셋,Unknown_Random,Canada,2025-04-30,Documentary,,,3
사유리,Unknown_Random,Japan,2025-04-16,Horror,,,6
스노우 폭스2: 몬스터타운 구하기,Unknown_Random,United States,2025-04-26,Animation,9519.0,76051800.0,8
A MINECRAFT MOVIE 마인크래프트 무비,Unknown_Random,United States,2025-04-26,Unknown_Random,1344309.0,12615397670.0,3
장흥1950: 마을로 간 전쟁,Unknown_Random,South Korea,2025-04-02,Documentary,,,2
라르고 윈치: 프라이스 오브 머니,Unknown_Random,France,2025-04-24,Action,,,4
"극장판 뱅드림! 잇츠 마이고!!!!! 전편: 봄의 양지, 방황하는 고양이",Kakimoto Kodai,Japan,2025-04-24,Animation,,,7
"초혼, 다시 부르는 노래",Jo Jung-rae,South Korea,2025-03-19,Drama,,,7
이제 다시 시작하려고 해,Jonás Trueba,Spain,2025-04-23,Drama,,,8
우리가 빛이라 상상하는 모든 것,Unknown_Random,India,2025-04-23,Drama,,,9
오 마이 갓,Unknown_Random,South Korea,2025-04-23,Unknown,,,6
"아도 스페셜 라이브 ""신조우"" 인 시네마",Unknown_Random,Japan,2025-04-23,Concert,,,9
드롭,Unknown_Random,United States,2025-04-23,Thriller,,,2
핸섬가이즈,Unknown_Random,South Korea,2024-06-26,Comedy,1763296.0,16481831900.0,6
베러맨,Unknown_Random,United Kingdom,2025-04-09,Musical,,,9
차박- 살인과 낭만의 밤,Unknown_Random,South Korea,2023-09-13,Thriller,,,9
마리아,Unknown_Random,United Kingdom,2025-04-16,Drama,13571.0,120503860.0,4
아마추어,Unknown_Random,United States,2025-04-09,Action,92619.0,870418950.0,4
하루 또 하루,Unknown_Random,South Korea,2025-04-17,Drama,,,10
극장판 귀멸의 칼날: 무한열차편,Sotozaki Haruo,Japan,2021-01-27,Animation,2171626.0,20849644460.0,7
당골,Unknown_Random,South Korea,2025-03-13,Documentary,,,8
미국 대침몰,Unknown_Random,United States,2025-02-20,Action,,,10
무법자: 대결투,Unknown_Random,United States,2025-02-20,Action,,,2
메갈로돈 2: 크레이지,Unknown_Random,United States,2025-03-06,Action,,,4
트랜스머신: 휴머노이드,Unknown_Random,United States,2025-03-13,Action,,,8
레드브릿지-나쁜 녀석들 더 비기닝,Unknown_Random,Japan,2025-03-13,Action,,,2
레드브릿지-나쁜 녀석들,Unknown_Random,Japan,2025-03-06,Action,,,3
괴담-도시전설,Unknown_Random,Japan,2025-03-06,Horror,,,6
울산의 별,Unknown_Random,South Korea,2024-01-24,Drama,,,5
스트리밍,Unknown_Random,South Korea,2025-03-21,Thriller,102316.0,990234120.0,5
브리짓 존스의 일기: 뉴 챕터,Unknown_Random,United Kingdom,2025-04-16,Comedy,41104.0,376784020.0,7
더 테러 라이브 : 라스트 쇼,Unknown_Random,Japan,2025-04-16,Crime,,,7
네버 렛 고: 악의 끈,Unknown_Random,United States,2025-04-16,Horror,,,10
열혈검사,Unknown_Random,China,2025-04-16,Action,,,9
犬견 : 버려진 아이들,Unknown_Random,South Korea,2020-10-18,Crime,,,9
류이치 사카모토: 플레잉 디 오케스트라 2014,Unknown_Random,Japan,2025-04-09,Concert,,,8
승부,Unknown_Random,South Korea,2025-03-26,Drama,2133815.0,19933027560.0,3
호비와 마법의 카네이션,Unknown_Random,Japan,2024-09-25,Animation,,,8
소방관,Kwak Kyung-taek,South Korea,2024-12-04,Drama,3840551.0,36145572270.0,9
출동! 왕엉덩이 히어로: 털복숭이 꼬리도적단 소탕작전,Unknown_Random,Australia,2025-04-12,Animation,,,8
블랙 워런트,Unknown_Random,United States,2025-04-10,Crime,,,7
백설공주와 일곱난쟁이,Unknown_Random,United States,2025-04-10,Animation,,,7
거너,Unknown_Random,United States,2025-04-10,Action,,,2
콘클라베,Unknown_Random,United States,2025-03-05,Drama,314141.0,2992126420.0,4
공포특급,Unknown_Random,South Korea,2025-04-02,Horror,,,7
파란,Unknown_Random,South Korea,2025-04-09,Mystery,,,4
울지 않는 아이,Unknown_Random,South Korea,2025-04-09,Drama,,,9
본회퍼: 목사.스파이.암살자,Unknown_Random,United States,2025-04-09,Drama,,,8
"침몰 10년, 제로썸",Unknown_Random,South Korea,2024-11-21,Documentary,,,7
올파의 딸들,Unknown_Random,France,2025-04-02,Documentary,,,3
미스터 로봇,Unknown_Random,South Korea,2025-04-04,Animation,15513.0,132301700.0,10
프랑켄슈타인 아버지,Unknown_Random,South Korea,2025-04-02,Drama,,,3
로비,Unknown_Random,South Korea,2025-04-02,Drama,257114.0,2431734640.0,5
고독한 미식가 더 무비,Unknown_Random,Japan,2025-03-19,Drama,79334.0,737840480.0,7
은혼 더 파이널,Unknown_Random,Japan,2021-07-22,Animation,27220.0,260795910.0,7
퇴마록,Unknown_Random,South Korea,2025-02-21,Animation,490404.0,4656067400.0,3
헤레틱,"Unknown_Random, Unknown_Random",United States,2025-04-02,Thriller,24740.0,196496900.0,7
주디,Unknown_Random,United Kingdom,2020-03-25,Drama,88718.0,729693480.0,6
루이스 웨인: 사랑을 그린 고양이 화가,Unknown_Random,United States,2022-04-06,Drama,36926.0,361177120.0,10
부전시장,Unknown_Random,South Korea,2025-03-27,Drama,,,9
고양이키스 : 당신에게 마음을 여는 순간,Unknown_Random,South Korea,2025-02-05,Drama,,,4
예르미타시 예술의 힘,Unknown_Random,Italy,2021-05-12,Documentary,,,3
화성특급,Unknown_Random,France,2025-04-02,Animation,,,3
행복의 노란 손수건,Unknown_Random,Japan,2025-04-02,Drama,,,3
친구 누나 자연산,Unknown_Random,South Korea,2025-04-02,Drama,,,2
세븐틴 [라잇 히어] 월드 투어 인 시네마,Oh Yoon-dong,South Korea,2025-04-02,Concert,14728.0,395921500.0,10
목소리들,Unknown_Random,South Korea,2025-04-02,Documentary,,,8
김동하 : 커넥트,Unknown_Random,South Korea,2025-04-02,Concert,,,9
기동전사 건담 지쿠악스 비기닝,Tsurumaki Kazuya,Japan,2025-04-02,Animation,,,7
극장판 파워 디지몬 더 비기닝,Unknown_Random,Japan,2023-11-29,Animation,24440.0,237344200.0,10
원피스 필름 레드,Unknown_Random,Japan,2022-11-30,Animation,184609.0,1975324848.0,9
열화청춘 리마스터링,Unknown_Random,Hong Kong,2025-03-31,Drama,,,5
귀멸의 칼날: 남매의 연,Sotozaki Haruo,Japan,2021-11-10,Animation,60315.0,597668430.0,7
침범,"Unknown_Random, Unknown_Random",South Korea,2025-03-12,Mystery,79338.0,716494200.0,7
스즈메의 문단속-하이라이트 필름콘서트,Unknown_Random,South Korea,2025-03-26,Animation,,,8
행복의 나라,Unknown_Random,South Korea,2024-08-14,Drama,690188.0,6380996857.0,10
아머: 현금수송차,Unknown_Random,United States,2025-03-27,Crime,,,6
4월의 불꽃,"Unknown_Random, Unknown_Random",South Korea,2025-03-27,Drama,,,7
"끝, 새로운 시작",Unknown_Random,United Kingdom,2025-03-26,Drama,,,3
"극장판 요아소비 5주년 기념 돔 라이브 2024 ""초현실""",Unknown_Random,Japan,2025-02-21,Concert,,,10
그랜드 투어,Unknown_Random,Portugal,2025-03-26,Drama,,,3
크래쉬: 디렉터스컷,David Cronenberg,Canada,2025-03-26,Crime,,,7
이매진 드래곤스: 라이브 프롬 더 할리우드 볼,Unknown_Random,United States,2025-03-26,Concert,,,2
연극 빵야,Unknown_Random,South Korea,2025-03-26,Concert,,,2
라스트 마일,Unknown_Random,Japan,2025-03-26,Thriller,38479.0,327885800.0,9
언젠틀 오퍼레이션,Guy Ritchie,United Kingdom,2025-03-19,Action,,,8
화이트 버드,Unknown_Random,United States,2025-03-12,Drama,,,4
에밀리아 페레즈,Unknown_Random,France,2025-03-12,Musical,20603.0,170662400.0,6
컴패니언,Unknown_Random,United States,2025-03-19,Thriller,,,9
은혼 금혼편 온 씨어터,Unknown_Random,Japan,2025-03-19,Animation,,,7
악령: 깨어난 시체,Unknown_Random,Vietnam,2025-03-19,Horror,29098.0,342724800.0,10
블랙 백,Unknown_Random,United States,2025-03-19,Drama,,,4
백설공주,Unknown_Random,United States,2025-03-19,Fantasy,172790.0,1632247010.0,10
존 윅 4,Unknown_Random,United States,2023-04-12,Action,1913536.0,19844662953.0,3
면접교섭,Unknown_Random,South Korea,2024-12-25,Documentary,,,4
나이트콜,Unknown_Random,France,2025-03-05,Action,,,5
